num,title,domain,summary,repo,skills
01,Agentic AI for Banking Customer Experience,Banking AI,"This project builds an agentic AI-style banking support workflow that classifies customer requests, predicts the best service route, estimates priority, and generates a clear customer-facing response.",https://github.com/sundaralingam48/Agentic-AI-for-Banking-Customer-Experience,"Python, Pandas, Scikit-learn, Classification, AI Workflow, Banking Analytics"
02,Credit Risk Prediction,Finance / Risk,"This project predicts credit risk using income, credit score, utilization, debt-to-income ratio, payment history, and loan amount.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/02_credit_risk_prediction,"Python, Pandas, Scikit-learn, Logistic Regression, Random Forest, Risk Analytics"
03,Customer Churn Prediction,Customer Analytics,"This project predicts customer churn using tenure, monthly charges, satisfaction, support tickets, logins, and product usage.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/03_customer_churn_prediction,"Python, Pandas, Classification, Customer Analytics, Model Evaluation"
04,Fraud Detection in Transactions,Fraud Analytics,"This project builds a fraud detection model using transaction amount, merchant risk, transaction time, foreign transaction status, location mismatch, and short-term account activity.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/04_fraud_detection_transactions,"Python, Pandas, Fraud Detection, Classification, Confusion Matrix, Precision/Recall"
05,Stock Price Feature Modeling,Time Series / Finance,"This project creates moving averages, returns, volatility, momentum, and volume-change features to predict whether the next trading day closes higher.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/05_stock_price_feature_modeling,"Python, Pandas, Time Series, Feature Engineering, Financial Analytics"
06,Housing Price Prediction,Real Estate Analytics,"This project predicts housing prices using square footage, rooms, bathrooms, age, property quality, and neighborhood score.",https://github.com/sundaralingam48/house-price-prediction-ml,"Python, Pandas, Regression, Random Forest, RMSE, Real Estate Analytics"
07,Delivery Delay Prediction,Logistics Analytics,"This project predicts delivery delays using distance, carrier score, weather risk, package weight, warehouse processing time, and traffic conditions.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/07_delivery_delay_prediction,"Python, Pandas, Logistics Analytics, Classification, Business Recommendations"
08,TSA Complaints Analysis,Public Sector Analytics,This project studies TSA-style complaint data and predicts whether a complaint is likely to be escalated.,https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/08_tsa_complaints_analysis,"Python, Pandas, Public Data, Classification, Data Storytelling"
09,Netflix Top 10 Storytelling Analysis,Entertainment Analytics,"This project uses viewing weeks, rank, genre, release type, release age, and weekly views to identify titles likely to stay in the Top 10 longer.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/09_netflix_top10_storytelling,"Python, Pandas, EDA, Storytelling, Classification, Visualization"
10,Childcare Price Analysis,Social / Economic Analytics,"This project analyzes childcare affordability using median income, infant care cost, preschool cost, employment rate, population density, and single-parent household rate.",https://github.com/sundaralingam48/sundaralingam48.github.io/tree/main/projects/10_childcare_price_analysis,"Python, Pandas, Regression, Social Analytics, Data Visualization"
